timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1523522893.932583,windowcleaning,windowcleaning,12.281798601150513,True,5.02,0.43,2.19,0.041800419724
1523522900.682694,windowcleaning,numbersix,6.7179741859436035,False,5.02,0.43,2.19,0.0460637901041
1523522905.7635746,windowcleaning,windowcleaning,5.0618016719818115,True,5.03,0.44,2.21,0.0493938790818
1523522914.2058632,frontback,frontback,8.42427110671997,True,5.02,0.44,2.21,0.0545900898496
1523522921.0238717,turnclap,turnclap,6.797524929046631,True,5.02,0.69,3.49,0.0589718313197
1523522927.776683,jumpleftright,jumpleftright,6.732159614562988,True,5.03,0.44,2.24,0.0633488221659
1523522937.9343858,frontback,frontback,10.137898921966553,True,5.02,0.44,2.21,0.0699047844337
1523522946.349068,wavehands,wavehands,8.380664825439453,True,5.03,0.44,2.24,0.0752909943263
1523522951.37646,wavehands,wavehands,5.005558490753174,True,5.02,0.46,2.31,0.0784121238185
1523522958.1889286,numbersix,numbersix,6.7909135818481445,True,5.02,0.44,2.21,0.0826757067753
1523522964.9491727,turnclap,turnclap,6.74111008644104,True,5.02,0.43,2.19,0.0869295869854
1523522971.6683624,frontback,frontback,6.699808835983276,True,5.02,0.45,2.26,0.0911120616906
1523522978.421399,squatturnclap,squatturnclap,6.732560396194458,True,5.02,0.45,2.26,0.0955681509402
1523522985.179167,jumpleftright,jumpleftright,6.738705158233643,True,5.03,0.44,2.21,0.0998031158335
1523522991.9337416,squatturnclap,squatturnclap,6.7313432693481445,True,5.03,0.44,2.24,0.10420466474
1523522997.0456784,squatturnclap,jump,5.091042757034302,False,5.03,0.44,2.21,0.107389999675
1523523005.4442558,jump,jump,8.375012636184692,True,5.02,0.44,2.23,0.112705403973
1523523010.9079955,jump,numbersix,5.440212726593018,False,5.03,0.42,2.12,0.115802811215
1523523016.1874523,jump,frontback,5.234764575958252,False,5.02,0.44,2.23,0.119098152463
1523523048.1019099,sidestep,wavehands,31.895196676254272,False,5.02,0.43,2.14,0.139012527984
1523523086.9064271,sidestep,sidestep,38.78350615501404,True,5.03,0.44,2.21,0.163433794661
1523523097.0196102,frontback,turnclap,10.093737602233887,False,5.02,0.44,2.23,0.169887056525
1523523198.9082131,turnclap,turnclap,6.983739376068115,True,5.02,0.44,2.23,0.0370584798184
1523523207.3445842,frontback,frontback,8.412546634674072,True,5.03,0.43,2.17,0.0423827265567
1523523215.775837,sidestep,sidestep,8.408394575119019,True,5.02,0.43,2.19,0.0477858837552
1523523220.8379962,sidestep,sidestep,5.043346881866455,True,5.02,0.44,2.23,0.0509896712979
1523523229.2074294,jump,jump,8.344643592834473,True,5.02,0.46,2.31,0.0562507569598
1523523234.2557096,jump,jump,5.029129266738892,True,5.03,0.44,2.21,0.0593579627673
1523523241.0074146,jumpleftright,jumpleftright,6.7312188148498535,True,5.02,0.62,3.09,0.0637855791138
1523523247.8628583,sidestep,sidestep,6.828597068786621,True,5.03,0.43,2.19,0.0681101197322
1523523254.6655662,frontback,frontback,6.780782699584961,True,5.03,0.43,2.19,0.0723869248827
1523523261.4201486,numbersix,numbersix,6.735982894897461,True,5.03,0.44,2.24,0.0766618663304
1523523269.858045,wavehands,windowcleaning,8.418957471847534,False,5.03,0.44,2.21,0.0820047026482
1523523276.633715,wavehands,wavehands,6.756675481796265,True,5.02,0.44,2.23,0.0862937896351
1523523285.074909,squatturnclap,squatturnclap,8.42065167427063,True,5.02,0.44,2.23,0.0916176925792
1523523291.848834,windowcleaning,windowcleaning,6.752352714538574,True,5.02,0.44,2.21,0.0957767815199
1523523298.60209,numbersix,numbersix,6.73300313949585,True,5.03,0.38,1.92,0.100161050724
1523523305.37264,frontback,frontback,6.749271631240845,True,5.03,0.43,2.19,0.104453800748
1523523312.127574,jumpleftright,jumpleftright,6.735857725143433,True,5.02,0.45,2.26,0.108912996268
1523523323.9470584,sidestep,sidestep,11.799155473709106,True,5.02,0.43,2.19,0.116322243384
1523523330.7116919,frontback,frontback,6.743609666824341,True,5.02,0.53,2.68,0.120814439319
1523523337.4607477,numbersix,numbersix,6.72943639755249,True,5.03,0.44,2.24,0.125083635844
1523523342.5065289,numbersix,jump,5.0244598388671875,False,5.02,0.44,2.21,0.128281377957
1523523349.3147905,wavehands,wavehands,6.7869298458099365,True,5.02,0.51,2.55,0.132648867167
1523523356.06469,windowcleaning,windowcleaning,6.73030424118042,True,5.03,0.44,2.24,0.136962782229
1523523362.8153632,jumpleftright,jumpleftright,6.7305920124053955,True,5.02,0.61,3.07,0.141320398357
1523523369.5806499,frontback,frontback,6.743884086608887,True,5.03,0.43,2.19,0.145613551733
1523523374.6447368,frontback,frontback,5.04466986656189,True,5.01,0.51,2.55,0.148810472329
1523523383.0718431,wavehands,wavehands,8.404106140136719,True,5.02,0.44,2.21,0.154063887466
1523523389.8043277,turnclap,turnclap,6.7130348682403564,True,5.03,0.43,2.19,0.158438625618
1523523398.270799,wavehands,wavehands,8.445305347442627,True,5.02,0.44,2.23,0.163803816597
1523523405.031977,turnclap,turnclap,6.740039110183716,True,5.03,0.45,2.26,0.168046247331
1523523413.5200405,frontback,frontback,8.467989444732666,True,5.02,0.43,2.19,0.173319471244
1523523418.5923676,frontback,frontback,5.051665306091309,True,5.03,0.43,2.14,0.176469292853
1523523425.3657398,squatturnclap,squatturnclap,6.75308632850647,True,5.03,0.44,2.21,0.180747452027
1523523430.434113,squatturnclap,squatturnclap,5.045464754104614,True,5.02,0.48,2.43,0.183911527423
